indice_tiempo,reservas_internacionales_dolares,pasivos_monetarios,pasivos_monetarios_letras_pesos,pasivos_monetarios_letras_dolares,letras_liquidez_saldo_pesos,posicion_neta_pases,otros_depositos_gobierno,redescuentos_adelantos_iliquidez,tipo_cambio_valuacion,pos_neta_det_des_pases_pasivos,pos_neta_det_des_pases_activos
2013-02-01,42180.857142857145,331799.85714285716,93122.92296480646,0.0,,17400.14285714286,3933.3214285714284,3906.25,5.0085107142857135,17400.14285714286,0.0
2013-03-01,41152.903225806454,336012.51612903224,96576.62435191536,0.0,,11755.967741935483,2853.9032258064517,3971.0,5.087254838709676,11755.967741935483,0.0
2013-04-01,40075.23333333333,337486.0333333333,94574.89864911906,0.0,,14687.633333333333,2774.5,4004.9666666666667,5.153176666666665,14687.633333333333,0.0
2013-05-01,39015.3870967742,341851.77419354836,94742.51822077985,0.0,,14736.548387096775,838.3548387096774,4098.419354838709,5.235774193548387,14736.548387096775,0.0
2013-06-01,38233.96666666667,353465.8,94597.02470941216,0.0,,11200.633333333333,3599.8,4240.133333333333,5.3303199999999995,11200.633333333333,0.0
2013-07-01,37310.16129032258,368286.8064516129,92908.00477880717,0.0,,9839.806451612903,6042.387096774193,4355.741935483871,5.440148387096776,9839.806451612903,0.0
2013-08-01,37001.22580645161,372531.3548387097,94630.60475546481,0.0,,14752.483870967742,10511.645161290322,4486.5161290322585,5.581006451612904,14752.483870967742,0.0
2013-09-01,35611.76666666667,379988.0333333333,99490.83178670098,0.0,,14953.033333333333,39773.5,4576.6,5.73681,14953.033333333333,0.0
2013-10-01,34221.22727272727,387979.54545454547,102376.63480942468,0.0,,12972.954545454546,23793.545454545456,4684.863636363636,5.848195454545455,12972.954545454546,0.0
2013-11-01,32244.366666666665,394193.7,101620.98355199663,0.0,,13538.833333333334,12719.5,4750.833333333333,6.011690000000001,13538.833333333334,0.0
2013-12-01,30611.74193548387,425082.32258064515,96925.22075627653,0.0,,5957.387096774193,9477.612903225807,4723.1612903225805,6.338141935483872,5957.387096774193,0.0
2014-01-01,29620.677419354837,446978.32258064515,98895.81288705606,14.185714519609721,,10501.806451612903,6390.264516129033,4747.580645161291,7.055135483870968,10501.806451612903,0.0
2014-02-01,27678.05,422916.25,121702.29138719627,2445.267079747174,,17293.321428571428,1419.8214285714287,4776.535714285715,7.8621,17293.321428571428,0.0
2014-03-01,27331.483870967742,417212.3548387097,130685.59287112538,5239.9595920920465,,11512.838709677419,2955.483870967742,4757.870967741936,7.926448387096773,11512.838709677419,0.0
2014-04-01,27679.933333333334,419314.1,139905.39701325406,6592.5765708132885,,18670.633333333335,2488.7,4778.233333333334,8.001099999999997,18670.633333333335,0.0
2014-05-01,28386.387096774193,411391.55806451617,156577.6373625015,7345.2905494101415,,12662.225806451614,7790.0,4730.935483870968,8.038567741935482,12662.225806451614,0.0
2014-06-01,28862.766666666666,426899.6,166041.56824551852,7527.589334048714,,11153.9,4456.466666666666,4807.2,8.126483333333333,11153.9,0.0
2014-07-01,29519.16129032258,446161.9032258064,170846.23630237707,7161.198152122482,,12072.032258064517,4258.0,4741.129032258064,8.159080645161293,12072.032258064517,0.0
2014-08-01,28861.387096774193,452701.77419354836,182258.83180921487,6866.229346007225,,14741.90322580645,2979.5806451612902,4650.451612903225,8.316654838709677,14741.90322580645,0.0
2014-09-01,28280.566666666666,457356.06666666665,196906.38692579666,6464.727343511818,,19953.8,3052.233333333333,4555.533333333334,8.419329999999999,19953.8,0.0
2014-10-01,27569.83870967742,465185.87096774194,206870.0305175199,6180.3406578660315,,18800.74193548387,13458.161290322581,4450.903225806452,8.479222580645162,18800.74193548387,0.0
2014-11-01,28476.966666666667,474149.63333333336,215370.8832364618,5934.856176544485,,14969.933333333332,6720.833333333333,4355.266666666666,8.513503333333336,14969.933333333332,0.0
2014-12-01,30232.774193548386,513245.12903225806,221064.22804322484,5656.896454848576,,14702.290322580646,32949.83870967742,4230.967741935484,8.550780645161295,14702.290322580646,0.0
2015-01-01,31274.645161290322,528381.5806451613,237378.0651600613,5960.359045386821,,25736.41935483871,23889.870967741936,4131.096774193548,8.599493548387098,25736.41935483871,0.0
2015-02-01,31349.964285714286,527636.1785714285,262753.07340271544,6082.877305801123,,20705.428571428572,7275.357142857143,4139.928571428572,8.684421428571428,20705.428571428572,0.0
2015-03-01,31431.548387096773,531861.6774193548,270543.3287135502,9310.43913494561,,16532.677419354837,4845.645161290323,4090.2903225806454,8.780138709677422,16532.677419354837,0.0
2015-04-01,31998.8,526155.7,264832.8066021848,13932.01779776863,,18495.25,8680.1,3969.3,8.865739999999999,18495.25,0.0
2015-05-01,33796.16129032258,537836.4838709678,272518.97310232907,15119.255548109286,,16015.935483870968,20219.709677419356,3848.5806451612902,8.947619354838709,16015.935483870968,0.0
2015-06-01,33680.03333333333,557644.8666666667,276771.78739001014,15439.884333863998,,20892.7,18128.366666666665,3704.8,9.042769999999997,20892.7,0.0
2015-07-01,33871.55161290322,589761.5870967743,283761.8973808737,16132.666452609916,,19795.677419354837,11692.387096774193,3575.4032258064517,9.139654838709676,19795.677419354837,0.0
2015-08-01,33720.709677419356,602298.2258064516,287230.3511181821,17072.747519806395,,17429.41935483871,9213.258064516129,3450.5806451612902,9.241564516129033,17429.41935483871,0.0
2015-09-01,33423.333333333336,609353.0666666667,286854.9153732403,19039.889546014336,,17884.733333333334,13343.733333333334,3316.3333333333335,9.365346666666666,17884.733333333334,0.0
2015-10-01,28144.433333333334,630387.4333333333,278104.5342905984,18469.194374118386,,18461.366666666665,31467.766666666666,3182.5,9.485520000000001,18461.366666666665,0.0
2015-11-01,26193.233333333334,651365.9666666667,272563.04454938124,18455.831973170953,,32085.9,20489.7,3068.1,9.627663333333334,32085.9,0.0
2015-12-01,24815.645161290322,738080.4193548387,257747.5093470087,20044.652871352606,,34576.67741935484,17119.709677419356,2943.451612903226,11.387216129032257,34576.67741935484,0.0
2016-01-01,25967.83870967742,742341.4516129033,337176.54557954177,0.0,,22852.870967741936,3465.548387096774,2816.516129032258,13.611393548387095,22852.870967741936,0.0
2016-02-01,29359.206896551725,683903.448275862,388558.44484642503,0.0,,29301.206896551725,2255.5862068965516,2678.896551724138,14.797227586206896,29397.758620689656,96.55172413793103
2016-03-01,28861.870967741936,703837.4838709678,391670.9931270528,0.0,,18746.16129032258,2475.1290322580644,2522.4193548387098,14.908558064516129,20570.290322580644,1824.1290322580646
2016-04-01,31015.466666666667,709206.6,428170.3639133478,0.0,,20169.333333333332,31973.933333333334,2386.0,14.420890000000002,22100.933333333334,1931.6
2016-05-01,31581.09677419355,725108.1612903225,469647.2471498359,0.0,,33517.6129032258,63175.709677419356,2276.6451612903224,14.132358064516133,33517.6129032258,0.0
2016-06-01,31484.733333333334,782008.4,501273.32010503317,0.0,,35874.86666666667,23606.533333333333,2139.8,14.101933333333337,35874.9,0.03333333333333333
2016-07-01,33231.06451612903,841559.9677419355,520375.86530157854,0.0,,33531.32258064516,17495.064516129034,2019.9354838709678,14.910083870967739,33531.32258064516,0.0
2016-08-01,32141.451612903227,839943.7096774194,572097.9281237337,0.0,,29376.322580645163,13911.516129032258,1880.4516129032259,14.841706451612898,29376.322580645163,0.0
2016-09-01,30886.233333333334,836700.8,600212.0756294499,0.0,,33137.36666666667,2865.266666666667,1760.0,15.087713333333339,33137.36666666667,0.0
2016-10-01,36430.1935483871,887331.6774193548,624540.4787242803,0.0,,36146.93548387097,61260.709677419356,1657.483870967742,15.183538709677418,36146.93548387097,0.0
2016-11-01,37705.2,969712.6333333333,660680.2362201837,0.0,,36876.7,18328.933333333334,1540.7333333333333,15.343293333333333,37004.0,127.3
2016-12-01,37853.48387096774,1022093.0322580645,630014.6002325701,0.0,,50305.6129032258,24403.290322580644,1454.7096774193549,15.842938709677412,50739.41935483871,433.80645161290323
2017-01-01,41153.967741935485,1076371.5806451612,607209.7466546078,0.0,,77536.51612903226,35175.22580645161,1349.774193548387,15.892941935483869,77753.87096774194,217.3548387096774
2017-02-01,48464.07142857143,1175568.0357142857,583255.329504786,0.0,,130693.03571428571,24838.928571428572,1257.5,15.576567857142852,130693.03571428571,0.0
2017-03-01,51488.032258064515,1173316.2903225806,613991.1035769345,0.0,,197324.74193548388,16331.387096774193,1165.3225806451612,15.526470967741933,197324.74193548388,0.0
2017-04-01,50371.63333333333,1108212.4666666666,709741.2819672229,0.0,,137700.46666666667,38779.333333333336,1085.5,15.344270000000003,137700.46666666667,0.0
2017-05-01,47707.25806451613,1050401.2903225806,792229.3108778393,0.0,,128881.87096774194,25923.129032258064,998.4193548387096,15.694477419354842,128881.87096774194,0.0
2017-06-01,45375.7993802216,1046579.4666666667,847758.0472103561,0.0,,108552.83333333333,19850.9,920.2666666666667,16.088586666666664,108552.83333333333,0.0
2017-07-01,47931.77419354839,1119722.6451612904,866720.1700964022,0.0,,76027.48387096774,26569.967741935485,849.7741935483871,17.14967419354839,76328.93548387097,301.4516129032258
2017-08-01,48353.45161290323,1146136.5483870967,901738.4050847038,0.0,,53452.45161290323,21022.677419354837,770.7096774193549,17.42523548387097,54391.41935483871,938.9677419354839
2017-09-01,50837.26666666667,1159456.8,959054.1200170178,0.0,,42150.166666666664,19246.833333333332,697.2666666666667,17.23093666666667,45252.833333333336,3102.6666666666665
2017-10-01,51692.48387096774,1126217.5483870967,1012854.4427372037,0.0,,66380.41935483871,18341.225806451614,628.0645161290323,17.459035483870966,66637.06451612903,256.64516129032256
2017-11-01,53992.433333333334,1149801.8333333333,1042470.2337899546,0.0,,73251.73666666666,31469.166666666668,560.8666666666667,17.492576666666665,73262.46666666666,10.729999999999999
2017-12-01,55581.92580645161,1236387.2258064516,1034309.2440001409,0.0,,60310.61935483871,31469.451612903227,501.0,17.723309677419355,63989.0,3678.3806451612904
2018-01-01,60625.74838709678,1334006.1612903227,1050997.0390404493,0.0,40834.4285749355,32588.774193548386,49812.16129032258,437.96774193548384,19.017193548387098,33377.74193548387,788.9677419354839
2018-02-01,62300.26785714285,1313697.3142857146,1129892.3197180044,0.0,90218.67507128578,16364.374999999996,20476.47857142857,384.2142857142855,19.853924999999997,16714.489285714284,350.11428571428576
2018-03-01,61756.30645161288,1274733.2645161292,1145582.6024383286,0.0,127691.7900481922,23138.651612903217,27627.303225806456,334.0032258064518,20.23240322580645,23203.148387096768,64.49677419354839
2018-04-01,60762.77666666666,1279081.2733333334,1148118.358425685,0.0,124861.0719853464,20526.530000000002,41495.69666666666,292.21666666666664,20.267899999999994,21447.29666666667,920.7666666666667
2018-05-01,54008.86451612905,1302975.5419354837,1148668.121821614,0.0,39459.032169540216,8155.909677419355,20512.854838709674,247.85483870967747,23.563558064516123,9040.619354838711,884.7096774193549
2018-06-01,53347.166666666664,1395229.5733333335,1041939.7835381408,0.0,7879.635136232553,24460.07333333333,127759.27666666666,206.33333333333334,26.60973666666667,24460.07333333333,0.0
2018-07-01,60102.848387096754,1493614.8516129032,919733.5355020728,0.0,82189.82699520305,15987.687096774192,320375.82258064515,170.03548387096777,27.668319354838708,15987.687096774192,0.0
2018-08-01,55909.903225806454,1622324.7709677422,718476.4155443871,0.0,201863.58184300625,6608.806451612903,255067.77409212518,133.458064516129,29.884574193548392,6608.806451612903,0.0
2018-09-01,50302.67666666666,1772200.0666666667,449697.2662001989,0.0,316877.65282561607,10373.5,300600.9,105.0,38.54600333333334,10373.5,0.0
2018-10-01,48951.9258064516,1745807.835483871,244506.7109729248,0.0,506551.4372481217,7899.354838709677,293406.32258064515,78.18709677419355,37.034506451612906,7899.354838709677,0.0
2018-11-01,52631.34666666666,1729380.05,138031.36206425258,0.0,631128.8545755292,6232.76,448574.42000000004,59.06666666666667,36.338366666666666,6232.76,0.0
2018-12-01,56977.6677419355,1866972.006451613,37675.74488378175,0.0,700157.6915691525,9269.822580645161,412316.1225806452,41.21290322580645,37.895529032258054,9269.822580645161,0.0
2019-01-01,66171.57419354838,1895096.4161290321,0.0,0.0,806151.641193327,13202.129032258064,477448.0290322581,31.548387096774192,37.39590645161291,13202.129032258064,0.0
2019-02-01,66984.04642857141,1899749.8642857142,0.0,0.0,884762.3006388694,3172.160714285714,468448.9071428571,27.014285714285712,38.34004285714286,3172.160714285714,0.0
2019-03-01,67958.42580645162,1948962.7935483872,0.0,0.0,951856.6778404159,3412.325806451613,494490.01612903224,24.067741935483873,41.1895193548387,3412.325806451613,0.0
2019-04-01,72678.57333333332,2008309.55,0.0,0.0,992903.3504084831,1199.0033333333333,677931.9333333333,20.796666666666667,43.10660333333335,1199.0033333333333,0.0
2019-05-01,67700.96774193548,2099045.541935484,0.0,0.0,1019241.0679499102,4430.451612903225,512720.0967741936,17.774193548387096,44.8808806451613,4430.451612903225,0.0
2019-06-01,64400.756666666675,2055875.9666666666,0.0,0.0,1093367.881478014,8037.1,439732.4,14.9,43.783440000000006,8037.1,0.0
2019-07-01,66133.21612903227,2040030.1612903227,0.0,0.0,1191880.4099993203,3208.3225806451615,437366.6129032258,12.580645161290322,42.4508064516129,3208.3225806451615,0.0
2019-08-01,62324.97419354838,2064637.677419355,0.0,0.0,1233526.5676039336,50543.58064516129,479203.0967741936,10.451612903225806,52.46450967741934,50543.58064516129,0.0
2019-09-01,50273.33666666668,1821522.4,0.0,0.0,1086197.5846496837,127686.36666666667,399598.63333333336,8.536666666666667,56.58660000000002,127686.36666666667,0.0
2019-10-01,46674.48064516129,1910469.2258064516,0.0,0.0,1016907.2682194655,185695.96774193548,211507.2258064516,6.451612903225806,58.514548387096774,185695.96774193548,0.0
2019-11-01,43488.15333333333,2041235.0,0.0,0.0,796628.3120541043,232982.23333333334,84706.13333333333,4.666666666666667,59.72722999999999,232982.23333333334,0.0
2019-12-01,44357.24838709678,2243814.806451613,0.0,0.0,728407.9575295092,432590.2580645161,52315.87096774193,2.5161290322580645,59.878493548387084,432590.2580645161,0.0
2020-01-01,45197.9806451613,2264261.1612903224,0.0,0.0,979210.7533087999,482226.4516129032,18045.0,1.2580645161290323,59.98913870967741,482226.4516129032,0.0
2020-02-01,44731.224137931036,2496114.0344827585,0.0,0.0,1362052.4028607318,20050.55172413793,18310.793103448275,0.3103448275862069,61.34256206896554,20050.55172413793,0.0
2020-03-01,44262.89032258064,2602201.5161290322,0.0,0.0,1471884.8522435308,17611.90322580645,48190.967741935485,0.0,63.24710967741936,17611.90322580645,0.0
2020-04-01,43734.670000000006,2852979.6333333333,0.0,0.0,1195536.6888620593,359478.4666666667,63570.76666666667,0.0,65.67531666666667,359478.4666666667,0.0
2020-05-01,43084.119354838724,2937553.35483871,0.0,0.0,1225369.367779842,609530.0677419355,132074.35483870967,0.0,67.70596774193548,609530.0677419355,0.0
2020-06-01,43051.15666666666,2891770.933333333,0.0,0.0,1613424.5838217072,588672.2,151864.23333333334,0.0,69.54899999999999,588672.2,0.0
2020-07-01,43312.84516129033,3056224.2580645164,0.0,0.0,1659949.966260978,693249.1935483871,107238.58064516129,0.0,71.37817096774192,693249.1935483871,0.0
2020-08-01,43152.29354838709,3155127.193548387,0.0,0.0,1777836.7340952759,664164.1290322581,92910.09677419355,0.0,73.24596774193549,664164.1290322581,0.0
2020-09-01,42350.33333333333,3220357.1333333333,0.0,0.0,1802772.573188897,710506.3833333333,46731.833333333336,0.0,75.18299999999999,710509.3,2.9166666666666665
2020-10-01,40739.42903225807,3236451.290322581,0.0,0.0,1671738.2179420434,871990.0645161291,86312.70967741935,0.0,77.53994516129032,871990.0645161291,0.0
2020-11-01,39164.24,3230808.7333333334,0.0,0.0,1599503.4404476038,846953.9333333333,56378.933333333334,0.0,79.89826000000001,846953.9333333333,0.0
2020-12-01,38898.25483870968,3335712.129032258,0.0,0.0,1605385.7655564814,1040553.5806451613,96604.29032258065,0.0,82.63784838709677,1040553.5806451613,0.0
2021-01-01,39610.43548387096,3537760.4838709678,0.0,0.0,1672276.6133704332,1025416.1032258065,71149.83870967742,0.0,85.84586129032257,1025416.1032258065,0.0
2021-02-01,39377.26071428573,3604167.464285714,1261.5357622214285,0.0,1758824.4212097267,955558.4285714285,74398.0,0.0,88.7239214285714,955558.4285714285,0.0
2021-03-01,39710.66129032258,3564399.806451613,6428.460973410322,0.0,1833513.0748182302,1177580.2580645161,55016.45161290323,0.0,91.09505806451612,1177580.2580645161,0.0
2021-04-01,40005.416666666664,3518479.3,10499.885365961669,0.0,1903512.2716579696,1379466.3833333335,62778.03333333333,0.0,92.72967666666665,1379466.3833333335,0.0
2021-05-01,41106.88387096774,3491668.193548387,13061.381676364519,0.0,1990888.2675173904,1560222.4955408322,54029.41935483871,0.0,94.09995161290323,1560222.4955408322,0.0
2021-06-01,42420.66333333334,3723367.1,11737.30583082067,0.0,1977485.2565075129,1543854.0300000003,144914.13333333333,0.0,95.25517333333337,1543854.0300000003,0.0
2021-07-01,42835.170967741935,3891728.870967742,10134.766357066777,0.0,1956563.6555234953,1760117.667741935,120140.90322580645,0.0,96.20941612903228,1760117.667741935,0.0
2021-08-01,43306.796774193564,4021268.290322581,10558.528878545814,0.0,2020265.7781678198,1894606.9944516127,59267.8064516129,0.0,97.19580967741935,1894606.9944516127,0.0
2021-09-01,44928.77333333334,4079986.4,12321.588562214334,0.0,2069265.8801960072,2027147.2633333341,88349.83333333333,0.0,98.26721666666667,2027150.1800000006,2.9166666666666665
2021-10-01,42919.70967741936,4180977.580645161,12409.820750719682,0.0,2092721.1396657317,2122027.3096774197,117825.74193548386,0.0,99.21570322580642,2122027.3387096776,0.02903225806451613
2021-11-01,42463.72,4350273.1,15456.28119136267,0.0,2058363.750827171,2250137.2999999993,174738.73333333334,0.0,100.32566333333332,2250137.2999999993,0.0
2021-12-01,40584.364516129026,4568621.838709678,18456.220496637416,0.0,2079410.028440922,2366669.84516129,178790.16129032258,0.0,101.87994838709675,2366669.84516129,0.0
2022-01-01,38963.63548387096,4942193.887096774,27093.54837493613,0.0,2751648.2048058473,1840824.6870967743,164159.32258064515,0.0,103.9293548387097,1840824.6870967743,0.0
2022-02-01,37252.314285714274,5032595.464285715,37464.92351551286,0.0,3563840.608518312,922634.6553571427,275070.1785714286,0.0,106.38476428571425,922634.6553571427,0.0
2022-03-01,38511.49032258063,4962283.838709678,47714.206152318715,0.0,3978465.6871763845,649856.329032258,476606.70967741933,0.0,109.36791612903227,649856.329032258,0.0
2022-04-01,43011.12666666667,4974395.1,48016.23537471934,0.0,4331487.541116594,564228.1566666666,923209.1,0.0,113.17777666666665,564228.1566666666,0.0
2022-05-01,41619.83870967741,5129954.774193549,48965.755842027414,0.0,4781006.072554811,572008.7806451614,688094.0967741936,0.0,117.78866129032261,572008.7806451614,0.0
2022-06-01,40779.70666666667,5378394.066666666,45094.81628230867,0.0,5152212.820190367,634403.0233333333,336655.8,0.0,122.65493333333335,634403.0233333333,0.0
2022-07-01,40335.07741935483,5730511.903225807,45010.27347608129,0.0,5644193.155095061,1027065.0870967741,520701.7419354839,0.0,128.3925806451613,1027065.0870967741,0.0
2022-08-01,37116.22258064516,5875020.645161291,44146.59729270837,0.0,5825223.30404153,944335.6580645159,463735.87096774194,0.0,135.26252258064514,944335.6580645159,0.0
2022-09-01,37173.99666666667,5809605.633333334,43681.542421703,20625.571461445335,6184526.426933707,1398556.2999999998,479692.9666666667,0.0,143.12683,1398559.2566666666,2.9566666666666666
2022-10-01,38732.15806451612,5917383.987096774,45468.041718522894,79574.17587867743,6898339.070300739,1450402.8290322574,686146.0,0.0,151.8687096774194,1450402.8290322574,0.0
2022-11-01,37897.11666666667,6264068.322633336,47990.797565405344,74651.23473408398,7130167.383078202,1636090.076666667,590561.2200000001,0.0,162.10161666666673,1636090.076666667,0.0
2022-12-01,40650.345161290315,6838972.45764516,53407.93874246579,76058.39213763419,7567281.047109601,2004089.8838709677,597489.5806451613,0.0,172.45186774193553,2004089.8838709677,0.0
2023-01-01,43198.67096774193,7588892.870967742,52961.13274333192,76548.52545854387,7810720.615565213,2182286.651612903,797564.9193548387,0.0,182.11865483870974,2182286.651612903,0.0
2023-02-01,39842.78571428572,7775391.135714286,51642.05341210894,62664.725767590375,8141112.406550973,2436599.7535714284,302397.0,0.0,191.9739107142857,2436638.0392857143,38.285714285714285
2023-03-01,37952.32258064516,7722522.29032258,53711.69605701644,50332.37481351,8458438.180120628,2878700.1903225817,210420.2258064516,0.0,202.91403870967744,2878700.1903225817,0.0
2023-04-01,37169.1,7814228.533333333,55681.38588641833,169268.83568927133,9053066.790735144,3029621.443333333,481446.1666666667,0.0,215.77599000000004,3029621.443333333,0.0
2023-05-01,33525.0,8005380.580645162,61786.47651573999,411905.81553293223,10034376.156989576,3289269.032258065,126096.12903225806,0.0,231.14381612903233,3289269.032258065,0.0
2023-06-01,31931.2,8271068.133333334,65789.39787381668,550993.3658270761,10817127.900065476,3663529.5900000003,283047.5333333333,0.0,248.30889333333332,3663529.5900000003,0.0
2023-07-01,26140.322580645163,8846469.709677419,66981.62204178292,554601.2593770148,11659430.525048297,3803047.6161290323,113141.64516129032,0.0,266.0470451612903,3803047.6161290323,0.0
2023-08-01,25131.354838709678,9637385.161290323,82154.1829595971,821470.2214718063,12458885.850000784,5148609.148387096,707618.2580645161,0.0,321.6182935483872,5148609.148387096,0.0
